rowid,pscis_crossing_id,road_tenure,transport_line_structured_name_1,my_road_tenure
5,2880,,,
6,8300090,MoTi,,
7,196441,,,
8,8527,,,
9,8525,BCTS,,
10,2892,,,
11,8552,,,
12,8551,,,
